Rain,CoraDist
ADILABAD,ADILABAD
ANANTAPUR,ANANTAPUR
BAGALKOTE,BAGALKOTE
BANGALORE RUR,BANGALORE RURAL
BANGALORE URB,BANGALORE
BELGAM,BELGAUM
BELLARY,BELLARY
BIDAR,BIDAR
BIJAPUR,BIJAPUR
CHAMARAJANAGA,CHAMRAJANAGAR
CHICKBALLAPUR,CHICKBALLAPUR
CHIKMAGALUR,CHICKMAGALUR
CHITRADURGA,CHITRADURGA
CHITTOOR,CHITTOOR
DAKSHIN KANDA,
DAVANGERE,DEVANAGERE
DHARWAD,DHARWAD
EAST GODAVARI,EAST GODAVARI
GADAG,GADAG
GULBARGA,GULBARGA
GUNTUR,GUNTUR
HASSAN,HASSAN
HAVERI,HAVERY
HYDERABAD,
KARIMNAGAR,KARIMNAGAR
KHAMMAM,KHAMMAM
KODAGU,
KOLAR,KOLAR
KOPPAL,KOPPAL
KRISHNA,KRISHNA
KUDDAPAH,CUDDAPAH
KURNOOL,KURNOOL
MAHABUBNAGAR,MAHABUBNAGAR
MANDYA,MANDYA
MEDAK,MEDAK
MYSORE,MYSORE
NALGONDA,NALGONDA
NELLORE,NELLORE
NIZAMABAD,NIZAMABAD
PRAKASAM,PRAKASAM
RAICHUR,RAICHUR
RAMNAGAR(BNGR),
RANGAREDDY,RANGA REDDY
SHIMOGA,SHIMOGA
SRIKAKULAM,SRIKAKULAM
TUMKUR,TUMKUR
UDUPI,
UTTAR KANNADA,
VISAKHAPATNAM,VIZAG
VIZIANAGARAM,VIZIANAGARAM
WARANGAL,WARANGAL
WEST GODAVARI,WEST GODAVARI
YADGIR,YADGIRI
