"DISTRICT","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANNUAL","JAN.FEB","MAM","JJAS","OND","Apple_Whole year","Arcanut (Processed)_Whole year","Arecanut_Kharif","Arecanut_Rabi","Arecanut_Whole year","Arhar_Kharif","Arhar_Rabi","Arhar_Whole year","Ash Gourd_Whole year","Atcanut (Raw)_Whole year","Bajra_Kharif","Bajra_Rabi","Bajra_Summer","Bajra_Whole year","Banana_Autumn","Banana_Kharif","Banana_Rabi","Banana_Summer","Banana_Whole year","Banana_Winter","Barley_Kharif","Barley_Rabi","Beans & Mutter(Vegetable)_Whole year","Beet Root_Whole year","Ber_Whole year","Bhindi_Whole year","Bitter Gourd_Whole year","Black pepper_Kharif","Black pepper_Rabi","Black pepper_Whole year","Bottle Gourd_Whole year","Brinjal_Whole year","Cabbage_Whole year","Cardamom_Kharif","Cardamom_Whole year","Carrot_Whole year","Cashewnut_Kharif","Cashewnut_Whole year","Cashewnut Processed_Whole year","Cashewnut Raw_Whole year","Castor seed_Kharif","Castor seed_Rabi","Castor seed_Whole year","Cauliflower_Whole year","Citrus Fruit_Whole year","Coconut ('000 Nuts)_Kharif","Coconut ('000 Nuts)_Rabi","Coconut ('000 Nuts)_Whole year","Coffee_Whole year","Cond-spcs other_Kharif","Cond-spcs other_Rabi","Coriander_Kharif","Coriander_Rabi","Coriander_Whole year","Cotton(lint)_Autumn","Cotton(lint)_Kharif","Cotton(lint)_Rabi","Cotton(lint)_Whole year","Cotton(lint)_Winter","Cucumber_Whole year","Drum Stick_Whole year","Dry chillies_Autumn","Dry chillies_Kharif","Dry chillies_Rabi","Dry chillies_Summer","Dry chillies_Whole year","Dry chillies_Winter","Dry ginger_Autumn","Dry ginger_Kharif","Dry ginger_Rabi","Dry ginger_Summer","Dry ginger_Whole year","Dry ginger_Winter","Garlic_Kharif","Garlic_Rabi","Garlic_Whole year","Gram_Kharif","Gram_Rabi","Gram_Whole year","Grapes_Whole year","Groundnut_Autumn","Groundnut_Kharif","Groundnut_Rabi","Groundnut_Summer","Groundnut_Whole year","Groundnut_Winter","Guar seed_Kharif","Guar seed_Whole year","Horse-gram_Kharif","Horse-gram_Rabi","Horse-gram_Summer","Horse-gram_Whole year","Horse-gram_Winter","Jack Fruit_Whole year","Jowar_Kharif","Jowar_Rabi","Jowar_Summer","Jowar_Whole year","Jute_Autumn","Jute_Kharif","Jute_Rabi","Jute_Summer","Jute & mesta_Kharif","Jute & mesta_Whole year","Kapas_Kharif","Khesari_Kharif","Khesari_Rabi","Korra_Kharif","Korra_Rabi","Lab-Lab_Whole year","Linseed_Kharif","Linseed_Rabi","Litchi_Whole year","Maize_Autumn","Maize_Kharif","Maize_Rabi","Maize_Summer","Maize_Whole year","Maize_Winter","Mango_Whole year","Masoor_Kharif","Masoor_Rabi","Mesta_Kharif","Mesta_Whole year","Moong_Autumn","Moong_Kharif","Moong_Rabi","Moong_Summer","Moong_Whole year","Moong_Winter","Moth_Kharif","Moth_Whole year","Niger seed_Kharif","Niger seed_Rabi","Niger seed_Whole year","Niger seed_Winter","Oilseeds total_Kharif","Oilseeds total_Whole year","Onion_Autumn","Onion_Kharif","Onion_Rabi","Onion_Summer","Onion_Whole year","Onion_Winter","Orange_Whole year","Other  Rabi pulses_Rabi","Other  Rabi pulses_Whole year","Other Cereals & Millets_Kharif","Other Cereals & Millets_Rabi","Other Cereals & Millets_Whole year","Other Citrus Fruit_Whole year","Other Dry Fruit_Whole year","other fibres_Whole year","Other Fresh Fruits_Whole year","Other Kharif pulses_Kharif","Other Kharif pulses_Rabi","other misc. pulses_Kharif","other misc. pulses_Rabi","other oilseeds_Kharif","other oilseeds_Rabi","other oilseeds_Whole year","Other Vegetables_Whole year","Papaya_Whole year","Peach_Whole year","Pear_Whole year","Peas  (vegetable)_Whole year","Peas & beans (Pulses)_Autumn","Peas & beans (Pulses)_Kharif","Peas & beans (Pulses)_Rabi","Peas & beans (Pulses)_Summer","Peas & beans (Pulses)_Whole year","Peas & beans (Pulses)_Winter","Pineapple_Whole year","Plums_Whole year","Pome Fruit_Whole year","Pome Granet_Whole year","Potato_Autumn","Potato_Kharif","Potato_Rabi","Potato_Summer","Potato_Whole year","Potato_Winter","Pulses total_Kharif","Pulses total_Rabi","Pulses total_Whole year","Pump Kin_Whole year","Ragi_Autumn","Ragi_Kharif","Ragi_Rabi","Ragi_Summer","Ragi_Whole year","Ragi_Winter","Rapeseed &Mustard_Kharif","Rapeseed &Mustard_Rabi","Rapeseed &Mustard_Whole year","Rapeseed &Mustard_Winter","Redish_Whole year","Ribed Guard_Whole year","Rice_Autumn","Rice_Kharif","Rice_Rabi","Rice_Summer","Rice_Whole year","Rice_Winter","Rubber_Whole year","Safflower_Kharif","Safflower_Rabi","Samai_Kharif","Samai_Rabi","Sannhamp_Kharif","Sannhamp_Whole year","Sesamum_Autumn","Sesamum_Kharif","Sesamum_Rabi","Sesamum_Summer","Sesamum_Whole year","Sesamum_Winter","Small millets_Kharif","Small millets_Rabi","Small millets_Whole year","Snak Guard_Whole year","Soyabean_Autumn","Soyabean_Kharif","Soyabean_Rabi","Soyabean_Winter","Sugarcane_Autumn","Sugarcane_Kharif","Sugarcane_Rabi","Sugarcane_Summer","Sugarcane_Whole year","Sugarcane_Winter","Sunflower_Kharif","Sunflower_Rabi","Sunflower_Summer","Sunflower_Whole year","Sweet potato_Autumn","Sweet potato_Kharif","Sweet potato_Rabi","Sweet potato_Whole year","Sweet potato_Winter","Tapioca_Autumn","Tapioca_Kharif","Tapioca_Rabi","Tapioca_Whole year","Tea_Kharif","Tea_Whole year","Tobacco_Kharif","Tobacco_Rabi","Tobacco_Summer","Tobacco_Whole year","Tomato_Whole year","Total foodgrain_Kharif","Turmeric_Autumn","Turmeric_Kharif","Turmeric_Rabi","Turmeric_Summer","Turmeric_Whole year","Turmeric_Winter","Turnip_Whole year","Urad_Autumn","Urad_Kharif","Urad_Rabi","Urad_Summer","Urad_Whole year","Urad_Winter","Varagu_Kharif","Varagu_Rabi","Water Melon_Whole year","Wheat_Rabi","Wheat_Summer","Wheat_Winter","Yam_Whole year"
"ADILABAD",7.5,7,11.4,11.9,18.2,178.4,317.4,291.7,171.4,83,14.8,7.3,1120,14.5,41.5,958.9,105.1,NA,NA,NA,NA,NA,38153.1818181818,1871,NA,NA,NA,628,768.7,NA,NA,NA,58.6666666666667,NA,NA,96.6,NA,NA,NA,171,NA,NA,298,NA,NA,NA,NA,2,519.5,77.5,NA,NA,NA,NA,55,NA,NA,985.090909090909,NA,NA,NA,77,NA,NA,NA,NA,NA,NA,941,726,1811.16666666667,NA,188771.5,NA,NA,NA,48,NA,NA,4987.66666666667,566.2,NA,8552.33333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.5,NA,9461,NA,NA,NA,102.1,4021.58333333333,NA,NA,NA,NA,NA,71.6,1653.66666666667,NA,NA,NA,NA,33548,58776.0833333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3126.55555555556,NA,NA,21527.0833333333,5996.58333333333,NA,NA,NA,3453.5,38381,296,32,NA,NA,14567.8333333333,3469.16666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,564.6,NA,561.6,NA,64.5,1148.55555555556,NA,NA,NA,NA,NA,NA,45,61,1618.22222222222,NA,1017,1577,NA,178.5,NA,1259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,NA,NA,NA,2,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,59986.5833333333,9857.58333333333,NA,NA,NA,NA,NA,555.571428571429,5.33333333333333,NA,524,807,NA,2761.16666666667,8471.91666666667,NA,NA,NA,NA,NA,NA,NA,NA,70921.5,NA,NA,NA,223.25,NA,NA,158.333333333333,NA,2803.5,4281.5,NA,1576,NA,14,NA,6.25,NA,NA,NA,NA,NA,NA,NA,NA,80.25,NA,123,2021.5,NA,NA,6062.5,NA,NA,6721.75,NA,NA,NA,18226.3333333333,1227.66666666667,NA,NA,NA,13,NA,NA,3595.72727272727,NA,NA,NA
"AGRA",17.5,9.9,8.9,4,9.3,53.8,227.1,280.9,125.4,28.1,5,4.7,774.6,27.4,22.2,687.2,37.8,NA,NA,NA,NA,NA,2751.66666666667,NA,NA,NA,NA,102347.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.6666666666667,83.5,NA,226,NA,NA,NA,NA,NA,NA,143.5,NA,NA,104.666666666667,NA,NA,1,NA,NA,NA,NA,NA,29.3333333333333,22.5,NA,5296.75,NA,NA,NA,5.125,NA,NA,NA,NA,187.5,188.666666666667,NA,NA,NA,NA,NA,NA,1152.91666666667,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,145.833333333333,14.5,48,NA,NA,NA,NA,839.444444444444,NA,NA,NA,76.3333333333333,172.5,138.857142857143,NA,NA,4.75,11,NA,NA,NA,NA,NA,NA,NA,NA,54,29.2,105,NA,NA,246.5,NA,NA,NA,NA,NA,NA,NA,NA,382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,362.285714285714,NA,824,NA,NA,NA,NA,NA,NA,NA,45410.1428571429,NA,25708.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73330.9166666667,NA,NA,NA,NA,NA,2056.08333333333,NA,31,NA,NA,NA,NA,NA,NA,NA,100.333333333333,1,NA,1397,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,229.857142857143,NA,NA,370.2,NA,5.25,NA,7,NA,NA,121.6,NA,105.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,374.111111111111,12,5.28571428571429,NA,NA,NA,NA,NA,132428.75,NA,NA,NA
"AHMEDABAD",0.8,0.3,0.5,0.7,5.9,91,215.4,190.8,105.4,19.1,8.2,1.8,639.9,1.1,7.1,602.6,29.1,NA,NA,NA,NA,NA,2384.61538461538,NA,NA,NA,NA,25300,NA,4200,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16975,NA,28500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181207.692307692,NA,NA,NA,NA,NA,NA,NA,NA,NA,262.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,NA,13923.0769230769,NA,NA,NA,538.461538461538,NA,187.5,NA,NA,700,1311.11111111111,NA,NA,NA,NA,NA,NA,19050,1171.42857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1050,NA,NA,1300,NA,NA,NA,NA,NA,NA,NA,2269.23076923077,NA,1000,NA,NA,1158.33333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,NA,NA,NA,NA,366.666666666667,1533.33333333333,NA,NA,NA,NA,NA,3083.33333333333,NA,NA,NA,50900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2700,NA,NA,NA,NA,NA,83361.5384615385,NA,4033.33333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8500,NA,NA,NA,NA,400,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400,NA,NA,875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,946.153846153846,NA,NA,NA,NA,NA,NA,NA,113369.230769231,NA,NA,NA
"AHMEDNAGAR",0.6,1.3,3,5.3,21.6,104.9,101.8,91.8,139.1,73.8,22.5,7.5,573.2,1.9,29.9,437.6,103.8,NA,NA,NA,NA,NA,12270.5,NA,NA,NA,NA,206077.166666667,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31518.1818181818,NA,15900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68889.4166666667,NA,331,NA,4713.41666666667,NA,7836.22222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255.666666666667,470475.818181818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,867.583333333333,NA,NA,15357.8181818182,9866.09090909091,1435.16666666667,NA,NA,9294,NA,NA,NA,NA,NA,12917.5,NA,NA,NA,NA,NA,NA,2172.72727272727,NA,NA,NA,NA,NA,NA,NA,NA,NA,30003,NA,NA,683.333333333333,NA,2900,900,NA,NA,NA,NA,NA,14333.3333333333,NA,NA,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3185.5,NA,NA,NA,NA,NA,136.545454545455,NA,NA,NA,NA,NA,6248.83333333333,NA,NA,NA,NA,NA,NA,18753.8333333333,NA,NA,NA,NA,NA,725.666666666667,150.083333333333,NA,NA,NA,1880,2350,NA,NA,NA,27868.5454545455,35500,NA,NA,83925,NA,NA,45266.625,NA,8307.83333333333,3493.75,125.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1647,NA,NA,NA,NA,NA,NA,NA,NA,NA,4799.41666666667,NA,NA,NA,NA,NA,NA,NA,97842.4166666667,NA,NA,NA
"AJMER",3.7,2,2.1,2.2,8.9,43.6,171,155,60,9.7,2.5,1.5,462.2,5.7,13.2,429.6,13.7,NA,NA,NA,NA,NA,23.4285714285714,NA,NA,NA,NA,77809.2727272727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8245.18181818182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.2,NA,NA,NA,271.5,NA,NA,NA,NA,NA,NA,NA,NA,107.1,NA,8639.55555555555,NA,NA,NA,NA,NA,NA,NA,NA,NA,1480.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.8333333333333,NA,14070,NA,NA,NA,2560.63636363636,NA,NA,NA,NA,NA,9974.2,NA,NA,NA,NA,NA,NA,131001.454545455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.8,NA,NA,36637.3636363636,NA,NA,NA,NA,83.5,NA,4.88888888888889,NA,NA,NA,69229.5454545455,NA,NA,NA,NA,2022.09090909091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1026.4,NA,NA,13.25,NA,NA,NA,NA,NA,NA,NA,231,1688.6,NA,NA,NA,NA,5965.66666666667,6229,2642,NA,NA,NA,NA,NA,NA,129.142857142857,NA,NA,NA,NA,NA,89.5,NA,NA,NA,NA,NA,2.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19901.5,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.33333333333333,NA,11337.7,NA,NA,NA,NA,151.75,NA,NA,NA,NA,23.1111111111111,NA,NA,NA,NA,NA,NA,32.5,NA,13,2,NA,NA,NA,NA,NA,69.6,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7791,NA,NA,NA,NA,NA,NA,NA,25033.5454545455,NA,NA,NA
"AKOLA",8.6,5.3,8.8,4.4,9.7,142.9,226.3,204.3,128.8,52.8,16.7,6.8,815.4,13.9,22.9,702.3,76.3,NA,NA,NA,NA,NA,46890,NA,NA,NA,NA,1450.75,NA,NA,NA,NA,NA,NA,NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,251.166666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186362.363636364,NA,207600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38954.5,NA,63,NA,150,NA,1069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67456.1818181818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,839.181818181818,172.285714285714,550.5,NA,NA,3100,NA,NA,NA,NA,NA,50498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385,NA,NA,100,NA,200,NA,NA,NA,NA,NA,NA,4183.33333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3078.75,NA,NA,NA,NA,NA,2911.66666666667,NA,NA,NA,NA,1000,NA,NA,NA,NA,61538.7272727273,50300,NA,NA,250,NA,NA,412.875,NA,3277.08333333333,1743.83333333333,768.444444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,415,NA,NA,NA,NA,NA,NA,NA,NA,NA,13223,NA,NA,NA,NA,NA,NA,NA,17440.4166666667,NA,NA,NA
"ALAPPUZHA",17.5,27.9,45.1,134,298.7,593,533,343.1,276.8,332.9,187.6,51.6,2841.2,45.4,477.8,1745.9,572.1,NA,NA,NA,NA,2130,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2166.41666666667,NA,NA,NA,NA,NA,NA,13.5,88,NA,NA,1866.09090909091,NA,55.5,NA,NA,NA,NA,NA,3366.5,NA,4313,NA,NA,NA,NA,NA,NA,NA,52345.8181818182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,838,NA,NA,NA,NA,52.5,NA,NA,119.5,NA,NA,84.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5539.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.3333333333333,NA,NA,NA,NA,NA,NA,NA,822.5,40.5,NA,NA,NA,NA,NA,135,2119.5,1111,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,8437.4,8524,15580,12650.2727272727,NA,9171.2,3837,NA,NA,NA,NA,NA,NA,NA,461,NA,NA,146,NA,5,NA,NA,84.5,NA,NA,NA,NA,NA,NA,NA,NA,95.4166666666667,NA,NA,NA,NA,NA,NA,NA,NA,4.27272727272727,NA,NA,NA,NA,3646.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.1666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALIGARH",19.5,12.6,9.4,5.6,18.4,47.4,213.1,261.9,133.3,39,4.2,6.6,771,32.1,33.4,655.7,49.8,NA,NA,NA,NA,NA,15725.3333333333,NA,NA,NA,NA,82691.1666666667,NA,NA,NA,NA,NA,NA,1.5,2,NA,NA,14912.6666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.6666666666667,22.5,NA,1132.09090909091,NA,NA,NA,NA,NA,NA,44.75,NA,NA,64.3333333333333,NA,NA,1,NA,NA,NA,NA,NA,138.666666666667,128,NA,522.75,NA,NA,NA,4.25,NA,NA,NA,NA,122.75,137,NA,NA,NA,NA,NA,NA,10.9090909090909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,29432.25,91.25,198.333333333333,NA,NA,NA,NA,1820.33333333333,NA,NA,NA,412.222222222222,4631,3420.57142857143,NA,NA,8.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,58.4,166,NA,NA,550.5,NA,NA,NA,NA,NA,NA,NA,NA,4318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,835.714285714286,NA,2817,NA,NA,NA,NA,NA,NA,NA,15132,NA,7128.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21169,NA,NA,NA,NA,NA,41380.5833333333,NA,5,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,45.1818181818182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9784.71428571429,NA,NA,9567.8,NA,142,NA,127.428571428571,NA,NA,272.2,NA,343,NA,NA,NA,NA,NA,NA,NA,NA,4,2,5.4,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,591.111111111111,80,122,NA,NA,NA,NA,NA,216860.666666667,NA,NA,NA
"ALLAHABAD",17.5,10,7.6,3.6,6.6,82.1,265.5,278.8,182.3,34.6,9.4,4.6,902.6,27.5,17.8,808.7,48.6,NA,NA,NA,NA,NA,14357.2222222222,NA,NA,NA,NA,29423.3333333333,NA,NA,NA,NA,NA,NA,11.5,8.66666666666667,NA,NA,6194.08333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.6666666666667,29,NA,NA,NA,NA,NA,NA,NA,NA,124.5,NA,NA,142,NA,NA,NA,NA,NA,NA,NA,NA,41,9,NA,20986.3333333333,NA,NA,NA,3,NA,NA,NA,NA,32.25,31.3333333333333,NA,NA,NA,NA,NA,NA,7200.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2525.45454545455,NA,NA,181.916666666667,11,3,NA,NA,NA,NA,7698.25,NA,NA,NA,51,3484,3521,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,276,82.5,306,NA,NA,4528.5,NA,NA,NA,NA,NA,NA,NA,NA,7639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5013.33333333333,NA,6572,NA,NA,NA,NA,NA,NA,NA,12289.7142857143,NA,12588.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1232.63636363636,NA,NA,NA,NA,NA,170772.666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.8571428571429,56,NA,598.272727272727,NA,NA,NA,NA,118.5,NA,NA,NA,NA,31.6666666666667,NA,NA,NA,752.142857142857,NA,NA,1056.4,NA,11,NA,21,NA,NA,49.4,NA,99.5,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1.33333333333333,NA,NA,NA,NA,1,NA,2,NA,NA,NA,863.5,2579.5,2930.57142857143,NA,NA,NA,NA,NA,214047.583333333,NA,NA,NA
"ALMORA",46.2,46.8,47.4,25.5,46.7,132.3,299.9,276.9,149.3,57.2,8.1,21,1157.3,93,119.6,858.4,86.3,NA,NA,NA,NA,NA,7.83333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3110.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1783,NA,NA,NA,NA,NA,NA,NA,NA,169.3,NA,NA,NA,157.125,NA,18.8571428571429,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,1316.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1952.4,NA,NA,NA,NA,NA,NA,1008.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,348.6,NA,NA,1,NA,8673.44444444445,118.75,NA,NA,NA,NA,NA,915.777777777778,NA,NA,NA,18.5,10,NA,NA,NA,NA,NA,NA,NA,NA,51.9,NA,NA,NA,NA,NA,NA,NA,NA,339.142857142857,703.285714285714,NA,960.666666666667,NA,NA,NA,NA,NA,NA,33834.7,NA,NA,NA,NA,NA,481.7,NA,NA,NA,NA,NA,21550.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153.4,NA,NA,NA,NA,15007.2,NA,NA,NA,NA,323.8,NA,NA,NA,NA,NA,NA,NA,NA,4,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,937.6,NA,NA,NA,NA,NA,NA,NA,41950,NA,NA,NA
